Date,Transaction
1/2/17,Miami Marlins signed free agent OF Mark Traylor to a minor league contract.
1/2/17,Cincinnati Reds signed free agent RHP Geoff Broussard to a minor league contract.
1/2/17,Cincinnati Reds signed free agent RHP Deunte Heath to a minor league contract.
1/2/17,Cincinnati Reds signed free agent C Adrian Nieto to a minor league contract.
1/2/17,Washington Nationals signed free agent LHP Stone Speer to a minor league contract.
1/3/17,Miami Marlins signed free agent 1B Tyler Moore to a minor league contract and invited him to spring training.
1/3/17,Miami Marlins signed free agent SS Ryan Jackson to a minor league contract and invited him to spring training.
1/3/17,Miami Marlins invited non-roster CF Isaac Galloway to spring training.
1/3/17,Miami Marlins invited non-roster OF Moises Sierra to spring training.
1/3/17,Miami Marlins signed free agent RHP Juan Benitez to a minor league contract and invited him to spring training.
1/3/17,Miami Marlins signed free agent RHP Javy Guerra to a minor league contract and invited him to spring training.
1/3/17,Miami Marlins signed free agent LHP Kelvin Marte to a minor league contract and invited him to spring training.
1/3/17,Miami Marlins signed free agent OF Brandon Barnes to a minor league contract and invited him to spring training.
1/3/17,San Diego Padres claimed Tyrell Jenkins off waivers from Cincinnati Reds.
1/3/17,Cincinnati Reds signed free agent RHP Drew Storen.
1/3/17,Arizona Diamondbacks traded LF Peter O'Brien to Kansas City Royals for RHP Sam Lewis.
1/3/17,Oakland Athletics signed free agent CF Rajai Davis.
1/3/17,Oakland Athletics designated Max Muncy for assignment.
1/3/17,Texas Rangers signed free agent RHP Sergio Leon to a minor league contract.
1/3/17,Detroit Tigers signed free agent 1B Sean Halton to a minor league contract.
1/3/17,Los Angeles Dodgers signed free agent C Bobby Wilson to a minor league contract and invited him to spring training.
1/3/17,San Francisco Giants signed free agent RF Justin Ruggiano to a minor league contract and invited him to spring training.
1/3/17,Los Angeles Dodgers signed free agent RHP Steve Geltz to a minor league contract and invited him to spring training.
1/4/17,Detroit Tigers signed free agent 3B Gabriel Quintana to a minor league contract.
1/4/17,Boston Red Sox signed free agent RHP Shawn Haviland to a minor league contract.
1/4/17,Texas Rangers signed free agent 3B Luis Mendez to a minor league contract.
1/4/17,Los Angeles Dodgers signed free agent RHP Fabio Castillo to a minor league contract and invited him to spring training.
1/5/17,Cleveland Indians signed free agent DH Edwin Encarnacion.
1/5/17,Cleveland Indians designated LHP Edwin Escobar for assignment.
1/5/17,Texas Rangers signed free agent RHP Jaye Chapman to a minor league contract.
1/5/17,Texas Rangers signed free agent C Steven Lerud to a minor league contract and invited him to spring training.
1/5/17,Los Angeles Angels sent 1B Ji-Man Choi outright to Salt Lake Bees.
1/5/17,LHP Elvis Araujo elected free agency.
1/5/17,Philadelphia Phillies signed free agent LHP Cesar Ramos to a minor league contract and invited him to spring training.
1/5/17,Boston Red Sox signed free agent LHP Cesar Cabral to a minor league contract.
1/5/17,Minnesota Twins signed free agent 1B Jonathan Rodriguez to a minor league contract.
1/6/17,Minnesota Twins invited non-roster RHP Raul Fernandez to spring training.
1/6/17,Minnesota Twins invited non-roster RHP Jake Reed to spring training.
1/6/17,Minnesota Twins invited non-roster RHP Aaron Slegers to spring training.
1/6/17,Minnesota Twins invited non-roster LHP Stephen Gonsalves to spring training.
1/6/17,Minnesota Twins invited non-roster 3B Niko Goodrum to spring training.
1/6/17,Minnesota Twins invited non-roster SS Nick Gordon to spring training.
1/6/17,Seattle Mariners traded RF Seth Smith to Baltimore Orioles for RHP Yovani Gallardo and cash.
1/6/17,Chicago White Sox claimed Willy Garcia off waivers from Pittsburgh Pirates.
1/6/17,Chicago White Sox designated RF Jason Coats for assignment.
1/6/17,Minnesota Twins signed free agent LHP Nick Greenwood to a minor league contract.
